Time_[s],TwHt1ALxt_[m/s^2],TwHt1ALyt_[m/s^2],TwHt2ALxt_[m/s^2],TwHt2ALyt_[m/s^2],TwHt3ALxt_[m/s^2],TwHt3ALyt_[m/s^2],TwHt4ALxt_[m/s^2],TwHt4ALyt_[m/s^2],TwHt5ALxt_[m/s^2],TwHt5ALyt_[m/s^2],TwHt6ALxt_[m/s^2],TwHt6ALyt_[m/s^2],TwHt7ALxt_[m/s^2],TwHt7ALyt_[m/s^2],TwHt8ALxt_[m/s^2],TwHt8ALyt_[m/s^2],TwHt9ALxt_[m/s^2],TwHt9ALyt_[m/s^2],TwHt1MLxt_[kN-m],TwHt1MLyt_[kN-m],TwHt2MLxt_[kN-m],TwHt2MLyt_[kN-m],TwHt3MLxt_[kN-m],TwHt3MLyt_[kN-m],TwHt4MLxt_[kN-m],TwHt4MLyt_[kN-m],TwHt5MLxt_[kN-m],TwHt5MLyt_[kN-m],TwHt6MLxt_[kN-m],TwHt6MLyt_[kN-m],TwHt7MLxt_[kN-m],TwHt7MLyt_[kN-m],TwHt8MLxt_[kN-m],TwHt8MLyt_[kN-m],TwHt9MLxt_[kN-m],TwHt9MLyt_[kN-m]
2.3250,0.019988059,0.019966819,0.039976118,0.039933639,0.059964177,0.059900458,0.079952236,0.079867277,0.099940295,0.099834097,0.11992835,0.11980092,0.13991641,0.13976774,0.15990447,0.15973455,0.17989253,0.17970137,98.760514,98.301755,197.52103,196.60351,296.28154,294.90526,395.04206,393.20702,493.80257,491.50877,592.56308,589.81053,691.3236,688.11228,790.08411,786.41404,888.84463,884.71579
2.3375,0.019940787,0.019997188,0.039881574,0.039994376,0.059822361,0.059991563,0.079763148,0.079988751,0.099703935,0.099985939,0.11964472,0.11998313,0.13958551,0.13998031,0.1595263,0.1599775,0.17946708,0.17997469,99.319014,97.435292,198.63803,194.87058,297.95704,292.30588,397.27606,389.74117,496.59507,487.17646,595.91408,584.61175,695.2331,682.04704,794.55211,779.48233,893.87113,876.91763
2.3500,0.019857652,0.019994206,0.039715304,0.039988412,0.059572956,0.059982619,0.079430608,0.079976825,0.09928826,0.099971031,0.11914591,0.11996524,0.13900356,0.13995944,0.15886122,0.15995365,0.17871887,0.17994786,99.711876,96.393595,199.42375,192.78719,299.13563,289.18078,398.84751,385.57438,498.55938,481.96797,598.27126,578.36157,697.98313,674.75516,797.69501,771.14876,897.40689,867.54235
2.3625,0.019738804,0.01995788,0.039477608,0.039915759,0.059216412,0.059873639,0.078955216,0.079831519,0.09869402,0.099789399,0.11843282,0.11974728,0.13817163,0.13970516,0.15791043,0.15966304,0.17764924,0.17962092,99.938446,95.178537,199.87689,190.35707,299.81534,285.53561,399.75378,380.71415,499.69223,475.89268,599.63068,571.07122,699.56912,666.24976,799.50757,761.4283,899.44602,856.60683
2.3750,0.019584456,0.019888269,0.039168912,0.039776538,0.058753369,0.059664807,0.078337825,0.079553075,0.097922281,0.099441344,0.11750674,0.11932961,0.13709119,0.13921788,0.15667565,0.15910615,0.17626011,0.17899442,99.998346,93.792304,199.99669,187.58461,299.99504,281.37691,399.99338,375.16922,499.99173,468.96152,599.99007,562.75382,699.98842,656.54613,799.98676,750.33843,899.98511,844.13074
2.3875,0.019394887,0.01978549,0.038789773,0.039570979,0.05818466,0.059356469,0.077579546,0.079141959,0.096974433,0.098927448,0.11636932,0.11871294,0.13576421,0.13849843,0.15515909,0.15828392,0.17455398,0.17806941,99.891475,92.237389,199.78295,184.47478,299.67442,276.71217,399.5659,368.94955,499.45737,461.18694,599.34885,553.42433,699.24032,645.66172,799.1318,737.89911,899.02327,830.1365
2.4000,0.019170436,0.019649714,0.038340872,0.039299427,0.057511307,0.058949141,0.076681743,0.078598855,0.095852179,0.098248568,0.11502261,0.11789828,0.13419305,0.137548,0.15336349,0.15719771,0.17253392,0.17684742,99.618011,90.516588,199.23602,181.03318,298.85403,271.54976,398.47205,362.06635,498.09006,452.58294,597.70807,543.09953,697.32608,633.61611,796.94409,724.1327,896.5621,814.64929
2.4125,0.018911508,0.019481167,0.037823015,0.038962334,0.056734523,0.058443501,0.075646031,0.077924669,0.094557538,0.097405836,0.11346905,0.116887,0.13238055,0.13636817,0.15129206,0.15584934,0.17020357,0.1753305,99.178412,88.632996,198.35682,177.26599,297.53524,265.89899,396.71365,354.53198,495.89206,443.16498,595.07047,531.79797,694.24889,620.43097,793.4273,709.06396,892.60571,797.69696
2.4250,0.018618568,0.019280131,0.037237136,0.038560263,0.055855704,0.057840394,0.074474271,0.077120525,0.093092839,0.096400657,0.11171141,0.11568079,0.13032998,0.13496092,0.14894854,0.15424105,0.16756711,0.17352118,98.57341,86.59,197.14682,173.18,295.72023,259.77,394.29364,346.36,492.86705,432.95,591.44046,519.54,690.01387,606.13,788.58728,692.72,887.16069,779.31
2.4375,0.018292143,0.019046941,0.036584286,0.038093883,0.05487643,0.057140824,0.073168573,0.076187766,0.091460716,0.095234707,0.10975286,0.11428165,0.128045,0.13332859,0.14633715,0.15237553,0.16462929,0.17142247,97.804014,84.391276,195.60803,168.78255,293.41204,253.17383,391.21606,337.5651,489.02007,421.95638,586.82408,506.34765,684.6281,590.73893,782.43211,675.1302,880.23613,759.52148
2.4500,0.017932821,0.018781986,0.035865641,0.037563973,0.053798462,0.056345959,0.071731283,0.075127945,0.089664104,0.093909931,0.10759692,0.11269192,0.12552975,0.1314739,0.14346257,0.15025589,0.16139539,0.16903788,96.871507,82.040776,193.74301,164.08155,290.61452,246.12233,387.48603,328.1631,484.35754,410.20388,581.22904,492.24466,678.10055,574.28543,774.97206,656.32621,871.84356,738.36699
2.4625,0.017541247,0.018485708,0.035082493,0.036971416,0.05262374,0.055457124,0.070164987,0.073942832,0.087706234,0.092428539,0.10524748,0.11091425,0.12278873,0.12939996,0.14032997,0.14788566,0.15787122,0.16637137,95.777444,79.542729,191.55489,159.08546,287.33233,238.62819,383.10978,318.17092,478.88722,397.71365,574.66467,477.25638,670.44211,556.7991,766.21956,636.34183,861.997,715.88456
2.4750,0.017118125,0.0181586,0.034236251,0.036317201,0.051354376,0.054475801,0.068472501,0.072634401,0.085590627,0.090793001,0.10270875,0.1089516,0.11982688,0.1271102,0.136945,0.1452688,0.15406313,0.1634274,94.523651,76.901627,189.0473,153.80325,283.57095,230.70488,378.0946,307.60651,472.61825,384.50814,567.1419,461.40976,661.66556,538.31139,756.18921,615.21302,850.71286,692.11465
2.4875,0.016664218,0.017801209,0.033328435,0.035602418,0.049992653,0.053403627,0.066656871,0.071204836,0.083321088,0.089006045,0.099985306,0.10680725,0.11664952,0.12460846,0.13331374,0.14240967,0.14997796,0.16021088,93.112217,74.122221,186.22443,148.24444,279.33665,222.36666,372.44887,296.48888,465.56109,370.6111,558.6733,444.73332,651.78552,518.85554,744.89774,592.97776,838.00995,667.09999
2.5000,0.01618034,0.01741413,0.03236068,0.03482826,0.04854102,0.05224239,0.06472136,0.06965652,0.080901699,0.087070651,0.097082039,0.10448478,0.11326238,0.12189891,0.12944272,0.13931304,0.14562306,0.15672717,91.545497,71.209508,183.09099,142.41902,274.63649,213.62852,366.18199,284.83803,457.72749,356.04754,549.27298,427.25705,640.81848,498.46655,732.36398,569.67606,823.90948,640.88557
2.5125,0.015667362,0.016998009,0.031334725,0.033996018,0.047002087,0.050994027,0.062669449,0.067992036,0.078336812,0.084990046,0.094004174,0.10198805,0.10967154,0.11898606,0.1253389,0.13598407,0.14100626,0.15298208,89.826104,68.168727,179.65221,136.33745,269.47831,204.50618,359.30442,272.67491,449.13052,340.84363,538.95662,409.01236,628.78273,477.18109,718.60883,545.34981,808.43494,613.51854
2.5250,0.015126208,0.01655354,0.030252415,0.03310708,0.045378623,0.04966062,0.06050483,0.06621416,0.075631038,0.0827677,0.090757246,0.09932124,0.10588345,0.11587478,0.12100966,0.13242832,0.13613587,0.14898186,87.956905,65.005347,175.91381,130.01069,263.87072,195.01604,351.82762,260.02139,439.78453,325.02673,527.74143,390.03208,615.69834,455.03743,703.65524,520.04277,791.61215,585.04812
2.5375,0.014557849,0.016081464,0.029115698,0.032162928,0.043673547,0.048244392,0.058231396,0.064325856,0.072789244,0.08040732,0.087347093,0.096488784,0.10190494,0.11257025,0.11646279,0.12865171,0.13102064,0.14473318,85.941018,61.725057,171.88204,123.45011,257.82305,185.17517,343.76407,246.90023,429.70509,308.62528,515.64611,370.35034,601.58712,432.0754,687.52814,493.80045,773.46916,555.52551
2.5500,0.013963308,0.015582569,0.027926617,0.031165137,0.041889925,0.046747706,0.055853234,0.062330274,0.069816542,0.077912843,0.08377985,0.093495411,0.097743159,0.10907798,0.11170647,0.12466055,0.12566978,0.14024312,83.781804,58.333756,167.56361,116.66751,251.34541,175.00127,335.12722,233.33503,418.90902,291.66878,502.69082,350.00254,586.47263,408.33629,670.25443,466.67005,754.03623,525.00381
2.5625,0.013343655,0.015057685,0.026687311,0.030115371,0.040030966,0.045173056,0.053374621,0.060230742,0.066718277,0.075288427,0.080061932,0.090346113,0.093405587,0.1054038,0.10674924,0.12046148,0.1200929,0.13551917,81.482864,54.837545,162.96573,109.67509,244.44859,164.51263,325.93146,219.35018,407.41432,274.18772,488.89719,329.02527,570.38005,383.86281,651.86291,438.70036,733.34578,493.5379
2.5750,0.012700004,0.01450769,0.025400008,0.02901538,0.038100013,0.043523071,0.050800017,0.058030761,0.063500021,0.072538451,0.076200025,0.087046141,0.088900029,0.10155383,0.10160003,0.11606152,0.11430004,0.13056921,79.048033,51.24271,158.09607,102.48542,237.1441,153.72813,316.19213,204.97084,395.24017,256.21355,474.2882,307.45626,553.33623,358.69897,632.38427,409.94168,711.4323,461.18439
2.5875,0.012033513,0.0139335,0.024067025,0.027867,0.036100538,0.0418005,0.04813405,0.055734,0.060167563,0.0696675,0.072201075,0.083601,0.084234588,0.097534501,0.0962681,0.111468,0.10830161,0.1254015,76.481371,47.555716,152.96274,95.111433,229.44411,142.66715,305.92549,190.22287,382.40686,237.77858,458.88823,285.3343,535.3696,332.89001,611.85097,380.44573,688.33234,428.00145
2.6000,0.011345379,0.013336073,0.022690758,0.026672145,0.034036137,0.040008218,0.045381516,0.05334429,0.056726895,0.066680363,0.068072274,0.080016435,0.079417653,0.093352508,0.090763032,0.10668858,0.10210841,0.12002465,73.787159,43.783196,147.57432,87.566391,221.36148,131.34959,295.14864,175.13278,368.9358,218.91598,442.72295,262.69917,516.51011,306.48237,590.29727,350.26557,664.08443,394.04876
2.6125,0.010636841,0.012716404,0.021273682,0.025432808,0.031910524,0.038149212,0.042547365,0.050865616,0.053184206,0.06358202,0.063821047,0.076298425,0.074457888,0.089014829,0.085094729,0.10173123,0.095731571,0.11444764,70.96989,39.931932,141.93978,79.863865,212.90967,119.7958,283.87956,159.72773,354.84945,199.65966,425.81934,239.59159,496.78923,279.52353,567.75912,319.45546,638.72901,359.38739
2.6250,0.0099091734,0.012075528,0.019818347,0.024151056,0.02972752,0.036226584,0.039636693,0.048302112,0.049545867,0.06037764,0.05945504,0.072453168,0.069364214,0.084528696,0.079273387,0.096604225,0.08918256,0.10867975,68.034262,36.008853,136.06852,72.017706,204.10278,108.02656,272.13705,144.03541,340.17131,180.04427,408.20557,216.05312,476.23983,252.06197,544.27409,288.07082,612.30835,324.07968
2.6375,0.0091636843,0.011414513,0.018327369,0.022829027,0.027491053,0.03424354,0.036654737,0.045658053,0.045818421,0.057072567,0.054982106,0.06848708,0.06414579,0.079901593,0.073309474,0.091316106,0.082473158,0.10273062,64.985171,32.021013,129.97034,64.042026,194.95551,96.063039,259.94068,128.08405,324.92585,160.10506,389.91102,192.12608,454.89619,224.14709,519.88136,256.1681,584.86654,288.18912
2.6500,0.0084017146,0.010734462,0.016803429,0.021468924,0.025205144,0.032203387,0.033606858,0.042937849,0.042008573,0.053672311,0.050410287,0.064406773,0.058812002,0.075141235,0.067213717,0.085875698,0.075615431,0.09661016,61.827702,27.975584,123.6554,55.951168,185.48311,83.926752,247.31081,111.90234,309.13851,139.87792,370.96621,167.8535,432.79391,195.82909,494.62161,223.80467,556.44932,251.78026
2.6625,0.0076246347,0.010036509,0.015249269,0.020073018,0.022873904,0.030109527,0.030498539,0.040146036,0.038123173,0.050182544,0.045747808,0.060219053,0.053372443,0.070255562,0.060997077,0.080292071,0.068621712,0.09032858,58.567121,23.879842,117.13424,47.759684,175.70136,71.639526,234.26848,95.519369,292.8356,119.39921,351.40273,143.27905,409.96985,167.15889,468.53697,191.03874,527.10409,214.91858
2.6750,0.0068338422,0.0093218174,0.013667684,0.018643635,0.020501526,0.027965452,0.027335369,0.03728727,0.034169211,0.046609087,0.041003053,0.055930904,0.047836895,0.065252722,0.054670737,0.074574539,0.061504579,0.083896356,55.208866,19.741153,110.41773,39.482306,165.6266,59.223459,220.83546,78.964612,276.04433,98.705765,331.2532,118.44692,386.46206,138.18807,441.67093,157.92922,496.87979,177.67038
2.6875,0.0060307592,0.0085915796,0.012061518,0.017183159,0.018092278,0.025774739,0.024123037,0.034366318,0.030153796,0.042957898,0.036184555,0.051549478,0.042215314,0.060141057,0.048246074,0.068732637,0.054276833,0.077324216,51.758537,15.56696,103.51707,31.133921,155.27561,46.700881,207.03415,62.267841,258.79269,77.834801,310.55122,93.401762,362.30976,108.96872,414.0683,124.53568,465.82684,140.10264
2.7000,0.0052168301,0.0078470134,0.01043366,0.015694027,0.01565049,0.02354104,0.020867321,0.031388053,0.026084151,0.039235067,0.031300981,0.04708208,0.036517811,0.054929093,0.041734641,0.062776107,0.046951471,0.07062312,48.221889,11.364771,96.443779,22.729542,144.66567,34.094312,192.88756,45.459083,241.10945,56.823854,289.33134,68.188625,337.55323,79.553396,385.77512,90.918166,433.997,102.28294
2.7125,0.0043935188,0.0070893604,0.0087870375,0.014178721,0.013180556,0.021268081,0.017574075,0.028357442,0.021967594,0.035446802,0.026361113,0.042536162,0.030754631,0.049625523,0.03514815,0.056714883,0.039541669,0.063804244,44.60482,7.1421422,89.209641,14.284284,133.81446,21.426427,178.41928,28.568569,223.0241,35.710711,267.62892,42.852853,312.23374,49.994995,356.83856,57.137138,401.44338,64.27928
2.7250,0.0035623058,0.0063198843,0.0071246116,0.012639769,0.010686917,0.018959653,0.014249223,0.025279537,0.017811529,0.031599422,0.021373835,0.037919306,0.024936141,0.04423919,0.028498446,0.050559074,0.032060752,0.056878959,40.913362,2.9066687,81.826725,5.8133374,122.74009,8.720006,163.65345,11.626675,204.56681,14.533343,245.48017,17.440012,286.39354,20.346681,327.3069,23.253349,368.22026,26.160018
2.7375,0.0027246862,0.0055398683,0.0054493723,0.011079737,0.0081740585,0.016619605,0.010898745,0.022159473,0.013623431,0.027699342,0.016348117,0.03323921,0.019072803,0.038779078,0.021797489,0.044318947,0.024522175,0.049858815,37.153672,-1.3340324,74.307344,-2.6680648,111.46102,-4.0020972,148.61469,-5.3361295,185.76836,-6.6701619,222.92203,-8.0041943,260.0757,-9.3382267,297.22938,-10.672259,334.38305,-12.006291
2.7500,0.0018821663,0.0047506134,0.0037643325,0.0095012267,0.0056464988,0.01425184,0.0075286651,0.019002453,0.0094108313,0.023753067,0.011292998,0.02850368,0.013175164,0.033254294,0.01505733,0.038004907,0.016939496,0.04275552,33.332019,-5.5723342,66.664038,-11.144668,99.996058,-16.717003,133.32808,-22.289337,166.6601,-27.861671,199.99212,-33.434005,233.32413,-39.00634,266.65615,-44.578674,299.98817,-50.151008
2.7625,0.0010362614,0.0039534356,0.0020725227,0.0079068713,0.0031087841,0.011860307,0.0041450454,0.015813743,0.0051813068,0.019767178,0.0062175681,0.023720614,0.0072538295,0.027674049,0.0082900909,0.031627485,0.0093263522,0.035580921,29.454778,-9.8006144,58.909555,-19.601229,88.364333,-29.401843,117.81911,-39.202458,147.27389,-49.003072,176.72867,-58.803687,206.18344,-68.604301,235.63822,-78.404915,265.093,-88.20553
2.7750,0.00018849277,0.0031496646,0.00037698554,0.0062993293,0.00056547831,0.0094489939,0.00075397107,0.012598659,0.00094246384,0.015748323,0.0011309566,0.018897988,0.0013194494,0.022047653,0.0015079421,0.025197317,0.0016964349,0.028346982,25.528413,-14.011269,51.056827,-28.022537,76.58524,-42.033806,102.11365,-56.045074,127.64207,-70.056343,153.17048,-84.067611,178.69889,-98.07888,204.22731,-112.09015,229.75572,-126.10142
2.7875,-0.00065961482,0.0023406409,-0.0013192296,0.0046812817,-0.0019788445,0.0070219226,-0.0026384593,0.0093625634,-0.0032980741,0.011703204,-0.0039576889,0.014043845,-0.0046173037,0.016384486,-0.0052769185,0.018725127,-0.0059365334,0.021065768,21.559475,-18.196724,43.118949,-36.393448,64.678424,-54.590172,86.237898,-72.786896,107.79737,-90.983619,129.35685,-109.18034,150.91632,-127.37707,172.4758,-145.57379,194.03527,-163.77052
2.8000,-0.0015065361,0.0015277135,-0.0030130722,0.003055427,-0.0045196083,0.0045831405,-0.0060261444,0.0061108541,-0.0075326806,0.0076385676,-0.0090392167,0.0091662811,-0.010545753,0.010693995,-0.012052289,0.012221708,-0.013558825,0.013749422,17.55458,-22.349453,35.109161,-44.698906,52.663741,-67.048359,70.218321,-89.397812,87.772902,-111.74727,105.32748,-134.09672,122.88206,-156.44617,140.43664,-178.79562,157.99122,-201.14508
2.8125,-0.0023507479,0.00071223835,-0.0047014959,0.0014244767,-0.0070522438,0.002136715,-0.0094029918,0.0028489534,-0.01175374,0.0035611917,-0.014104488,0.0042734301,-0.016455236,0.0049856684,-0.018805984,0.0056979068,-0.021156732,0.0064101451,13.52041,-26.461987,27.04082,-52.923975,40.561229,-79.385962,54.081639,-105.84795,67.602049,-132.30994,81.122459,-158.77192,94.642869,-185.23391,108.16328,-211.6959,121.68369,-238.15789
2.8250,-0.003190732,-0.00010442464,-0.0063814641,-0.00020884927,-0.0095721961,-0.00031327391,-0.012762928,-0.00041769854,-0.01595366,-0.00052212318,-0.019144392,-0.00062654781,-0.022335124,-0.00073097245,-0.025525856,-0.00083539708,-0.028716588,-0.00093982172,9.4636909,-30.526931,18.927382,-61.053862,28.391073,-91.580793,37.854763,-122.10772,47.318454,-152.63465,56.782145,-183.16159,66.245836,-213.68852,75.709527,-244.21545,85.173218,-274.74238
2.8375,-0.0040249777,-0.00092091347,-0.0080499554,-0.0018418269,-0.012074933,-0.0027627404,-0.016099911,-0.0036836539,-0.020124889,-0.0046045673,-0.024149866,-0.0055254808,-0.028174844,-0.0064463943,-0.032199822,-0.0073673077,-0.0362248,-0.0082882212,5.391189,-34.536973,10.782378,-69.073945,16.173567,-103.61092,21.564756,-138.14789,26.955945,-172.68486,32.347134,-207.22184,37.738323,-241.75881,43.129512,-276.29578,48.520701,-310.83275
2.8500,-0.0048519846,-0.0017358665,-0.0097039692,-0.0034717329,-0.014555954,-0.0052075994,-0.019407938,-0.0069434659,-0.024259923,-0.0086793323,-0.029111908,-0.010415199,-0.033963892,-0.012151065,-0.038815877,-0.013886932,-0.043667862,-0.015622798,1.3096961,-38.484901,2.6193922,-76.969802,3.9290883,-115.4547,5.2387844,-153.9396,6.5484805,-192.4245,7.8581766,-230.90941,9.1678728,-269.39431,10.477569,-307.87921,11.787265,-346.36411
2.8625,-0.0056702654,-0.0025479245,-0.011340531,-0.005095849,-0.017010796,-0.0076437735,-0.022681062,-0.010191698,-0.028351327,-0.012739623,-0.034021592,-0.015287547,-0.039691858,-0.017835472,-0.045362123,-0.020383396,-0.051032388,-0.022931321,-2.773981,-42.363615,-5.547962,-84.727231,-8.321943,-127.09085,-11.095924,-169.45446,-13.869905,-211.81808,-16.643886,-254.18169,-19.417867,-296.54531,-22.191848,-338.90892,-24.965829,-381.27254
2.8750,-0.0064783484,-0.0033557333,-0.012956697,-0.0067114666,-0.019435045,-0.0100672,-0.025913393,-0.013422933,-0.032391742,-0.016778666,-0.03887009,-0.0201344,-0.045348439,-0.023490133,-0.051826787,-0.026845866,-0.058305135,-0.0302016,-6.8530319,-46.16614,-13.706064,-92.332281,-20.559096,-138.49842,-27.412128,-184.66456,-34.265159,-230.8307,-41.118191,-276.99684,-47.971223,-323.16298,-54.824255,-369.32912,-61.677287,-415.49526
2.8875,-0.0072747803,-0.0041579456,-0.014549561,-0.0083158912,-0.021824341,-0.012473837,-0.029099121,-0.016631782,-0.036373901,-0.020789728,-0.043648682,-0.024947674,-0.050923462,-0.029105619,-0.058198242,-0.033263565,-0.065473022,-0.03742151,-10.920654,-49.885637,-21.841307,-99.771274,-32.761961,-149.65691,-43.682615,-199.54255,-54.603269,-249.42819,-65.523922,-299.31382,-76.444576,-349.19946,-87.36523,-399.0851,-98.285884,-448.97073
2.9000,-0.0080581287,-0.0049532236,-0.016116257,-0.0099064472,-0.024174386,-0.014859671,-0.032232515,-0.019812894,-0.040290644,-0.024766118,-0.048348772,-0.029719342,-0.056406901,-0.034672565,-0.06446503,-0.039625789,-0.072523158,-0.044579012,-14.970063,-53.515416,-29.940126,-107.03083,-44.910189,-160.54625,-59.880251,-214.06166,-74.850314,-267.57708,-89.820377,-321.0925,-104.79044,-374.60791,-119.7605,-428.12333,-134.73057,-481.63875
2.9125,-0.0088269849,-0.0057402409,-0.01765397,-0.011480482,-0.026480955,-0.017220723,-0.03530794,-0.022960964,-0.044134924,-0.028701205,-0.052961909,-0.034441446,-0.061788894,-0.040181687,-0.070615879,-0.045921927,-0.079442864,-0.051662168,-18.994506,-57.04895,-37.989012,-114.0979,-56.983518,-171.14685,-75.978024,-228.1958,-94.97253,-285.24475,-113.96704,-342.2937,-132.96154,-399.34265,-151.95605,-456.3916,-170.95055,-513.44055
2.9250,-0.0095799661,-0.0065176851,-0.019159932,-0.01303537,-0.028739898,-0.019553055,-0.038319864,-0.02607074,-0.04789983,-0.032588425,-0.057479796,-0.039106111,-0.067059762,-0.045623796,-0.076639728,-0.052141481,-0.086219694,-0.058659166,-22.987271,-60.479883,-45.974543,-120.95977,-68.961814,-181.43965,-91.949085,-241.91953,-114.93636,-302.39941,-137.92363,-362.8793,-160.9109,-423.35918,-183.89817,-483.83906,-206.88544,-544.31894
2.9375,-0.010315718,-0.0072842595,-0.020631436,-0.014568519,-0.030947154,-0.021852779,-0.041262872,-0.029137038,-0.05157859,-0.036421298,-0.061894308,-0.043705557,-0.072210026,-0.050989817,-0.082525744,-0.058274076,-0.092841462,-0.065558336,-26.9417,-63.802044,-53.8834,-127.60409,-80.8251,-191.40613,-107.7668,-255.20818,-134.7085,-319.01022,-161.6502,-382.81227,-188.5919,-446.61431,-215.5336,-510.41636,-242.4753,-574.2184
2.9500,-0.011032917,-0.0080386857,-0.022065835,-0.016077371,-0.033098752,-0.024116057,-0.04413167,-0.032154743,-0.055164587,-0.040193429,-0.066197504,-0.048232114,-0.077230422,-0.0562708,-0.088263339,-0.064309486,-0.099296257,-0.072348172,-30.851197,-67.009461,-61.702395,-134.01892,-92.553592,-201.02838,-123.40479,-268.03784,-154.25599,-335.0473,-185.10718,-402.05676,-215.95838,-469.06622,-246.80958,-536.07568,-277.66078,-603.08515
2.9625,-0.011730275,-0.0087797056,-0.023460549,-0.017559411,-0.035190824,-0.026339117,-0.046921098,-0.035118822,-0.058651373,-0.043898528,-0.070381647,-0.052678234,-0.082111922,-0.061457939,-0.093842196,-0.070237645,-0.10557247,-0.07901735,-34.709243,-70.096362,-69.418486,-140.19272,-104.12773,-210.28909,-138.83697,-280.38545,-173.54622,-350.48181,-208.25546,-420.57817,-242.9647,-490.67454,-277.67394,-560.7709,-312.38319,-630.86726
2.9750,-0.012406535,-0.0095060833,-0.02481307,-0.019012167,-0.037219605,-0.02851825,-0.049626141,-0.038024333,-0.062032676,-0.047530416,-0.074439211,-0.0570365,-0.086845746,-0.066542583,-0.099252281,-0.076048666,-0.11165882,-0.085554749,-38.509403,-73.057198,-77.018806,-146.1144,-115.52821,-219.1716,-154.03761,-292.22879,-192.54702,-365.28599,-231.05642,-438.34319,-269.56582,-511.40039,-308.07522,-584.45759,-346.58463,-657.51479
2.9875,-0.013060483,-0.010216607,-0.026120966,-0.020433215,-0.039181449,-0.030649822,-0.052241932,-0.040866429,-0.065302415,-0.051083037,-0.078362898,-0.061299644,-0.091423381,-0.071516251,-0.10448386,-0.081732859,-0.11754435,-0.091949466,-42.24534,-75.886643,-84.49068,-151.77329,-126.73602,-227.65993,-168.98136,-303.54657,-211.2267,-379.43322,-253.47204,-455.31986,-295.71738,-531.2065,-337.96272,-607.09315,-380.20806,-682.97979
3.0000,-0.013690942,-0.010910093,-0.027381884,-0.021820186,-0.041072826,-0.032730279,-0.054763768,-0.043640371,-0.068454711,-0.054550464,-0.082145653,-0.065460557,-0.095836595,-0.07637065,-0.10952754,-0.087280743,-0.12321848,-0.098190836,-45.910823,-78.579609,-91.821645,-157.15922,-137.73247,-235.73883,-183.64329,-314.31844,-229.55411,-392.89805,-275.46494,-471.47765,-321.37576,-550.05726,-367.28658,-628.63687,-413.1974,-707.21648
3.0125,-0.014296778,-0.011585383,-0.028593557,-0.023170767,-0.042890335,-0.03475615,-0.057187114,-0.046341533,-0.071483892,-0.057926916,-0.085780671,-0.0695123,-0.10007745,-0.081097683,-0.11437423,-0.092683066,-0.12867101,-0.10426845,-49.499739,-81.131252,-98.999477,-162.2625,-148.49922,-243.39376,-197.99895,-324.52501,-247.49869,-405.65626,-296.99843,-486.78751,-346.49817,-567.91876,-395.99791,-649.05001,-445.49765,-730.18127
3.0250,-0.014876903,-0.012241352,-0.029753805,-0.024482705,-0.044630708,-0.036724057,-0.05950761,-0.04896541,-0.074384513,-0.061206762,-0.089261416,-0.073448114,-0.10413832,-0.085689467,-0.11901522,-0.097930819,-0.13389212,-0.11017217,-53.006102,-83.536983,-106.0122,-167.07397,-159.01831,-250.61095,-212.02441,-334.14793,-265.03051,-417.68491,-318.03661,-501.2219,-371.04272,-584.75888,-424.04882,-668.29586,-477.05492,-751.83285
3.0375,-0.015430271,-0.012876906,-0.030860542,-0.025753812,-0.046290813,-0.038630719,-0.061721084,-0.051507625,-0.077151356,-0.064384531,-0.092581627,-0.077261437,-0.1080119,-0.090138343,-0.12344217,-0.10301525,-0.13887244,-0.11589216,-56.424066,-85.792475,-112.84813,-171.58495,-169.2722,-257.37743,-225.69626,-343.1699,-282.12033,-428.96238,-338.5444,-514.75485,-394.96846,-600.54733,-451.39253,-686.3398,-507.81659,-772.13228
3.0500,-0.015955889,-0.013490985,-0.031911778,-0.02698197,-0.047867666,-0.040472954,-0.063823555,-0.053963939,-0.079779444,-0.067454924,-0.095735333,-0.080945909,-0.11169122,-0.094436894,-0.12764711,-0.10792788,-0.143603,-0.12141886,-59.747929,-87.893673,-119.49586,-175.78735,-179.24379,-263.68102,-238.99172,-351.57469,-298.73965,-439.46837,-358.48758,-527.36204,-418.23551,-615.25571,-477.98344,-703.14939,-537.73137,-791.04306
3.0625,-0.01645281,-0.014082564,-0.032905621,-0.028165128,-0.049358431,-0.042247692,-0.065811241,-0.056330256,-0.082264052,-0.07041282,-0.098716862,-0.084495384,-0.11516967,-0.098577948,-0.13162248,-0.11266051,-0.14807529,-0.12674308,-62.97215,-89.836797,-125.9443,-179.67359,-188.91645,-269.51039,-251.8886,-359.34719,-314.86075,-449.18399,-377.8329,-539.02078,-440.80505,-628.85758,-503.7772,-718.69438,-566.74935,-808.53118
3.0750,-0.016920142,-0.014650657,-0.033840284,-0.029301315,-0.050760426,-0.043951972,-0.067680568,-0.05860263,-0.084600711,-0.073253287,-0.10152085,-0.087903944,-0.11844099,-0.1025546,-0.13536114,-0.11720526,-0.15228128,-0.13185592,-66.091349,-91.618353,-132.1827,-183.23671,-198.27405,-274.85506,-264.3654,-366.47341,-330.45674,-458.09176,-396.54809,-549.71012,-462.63944,-641.32847,-528.73079,-732.94682,-594.82214,-824.56518
